x,y,site_count,lon,lat
-450.0,-77.98742138364781,5,8.4737,48.969415094339624
-450.0,-72.95597484276732,5,8.4737,48.96945283018868
-450.0,-67.92452830188682,7,8.4737,48.969490566037734
-450.0,-62.89308176100633,7,8.4737,48.96952830188679
-450.0,-57.86163522012578,5,8.4737,48.969566037735845
-450.0,-52.83018867924528,7,8.4737,48.96960377358491
-450.0,-47.79874213836479,6,8.4737,48.96964150943396
-450.0,-42.76729559748429,5,8.4737,48.96967924528302
-450.0,-37.7358490566038,7,8.4737,48.96971698113207
-450.0,-32.7044025157233,6,8.4737,48.96975471698113
-450.0,-27.672955974842807,6,8.4737,48.969792452830184
-450.0,-22.641509433962256,6,8.4737,48.969830188679246
-450.0,-17.61006289308176,5,8.4737,48.9698679245283
-450.0,-12.578616352201266,4,8.4737,48.96990566037736
-450.0,-7.547169811320771,5,8.4737,48.96994339622641
-450.0,-2.515723270440276,6,8.4737,48.96998113207547
-450.0,2.515723270440219,5,8.4737,48.97001886792453
-450.0,7.547169811320714,5,8.4737,48.970056603773585
-450.0,12.578616352201266,7,8.4737,48.97009433962264
-450.0,17.61006289308176,5,8.4737,48.970132075471696
-450.0,22.641509433962256,7,8.4737,48.97016981132075
-450.0,27.67295597484275,5,8.4737,48.970207547169814
-450.0,32.704402515723245,6,8.4737,48.97024528301887
-450.0,37.73584905660374,7,8.4737,48.970283018867924
-450.0,42.767295597484235,5,8.4737,48.97032075471698
-450.0,47.79874213836479,7,8.4737,48.970358490566035
-450.0,52.83018867924528,4,8.4737,48.97039622641509
-450.0,57.86163522012578,7,8.4737,48.97043396226415
-450.0,62.89308176100627,6,8.4737,48.97047169811321
-450.0,67.92452830188677,5,8.4737,48.97050943396226
-450.0,72.95597484276726,6,8.4737,48.97054716981132
-450.0,77.98742138364776,5,8.4737,48.970584905660374
-450.0,83.01886792452831,6,8.4737,48.970622641509436
-450.0,88.0503144654088,6,8.4737,48.97066037735849
-450.0,93.0817610062893,6,8.4737,48.97069811320755
-450.0,98.1132075471698,4,8.4737,48.9707358490566
-450.0,103.14465408805029,5,8.4737,48.97077358490566
-450.0,108.17610062893078,5,8.4737,48.97081132075471
-450.0,113.20754716981128,4,8.4737,48.970849056603775
-450.0,118.23899371069183,5,8.4737,48.97088679245283
-450.0,123.27044025157227,4,8.4737,48.970924528301886
-450.0,128.30188679245282,6,8.4737,48.97096226415094
-450.0,133.33333333333326,7,8.4737,48.971
-450.0,138.3647798742138,5,8.4737,48.97103773584906
-450.0,143.39622641509436,4,8.4737,48.971075471698114
-450.0,148.4276729559748,6,8.4737,48.97111320754717
-450.0,153.45911949685535,3,8.4737,48.971150943396225
-450.0,158.4905660377358,6,8.4737,48.97118867924528
-450.0,163.52201257861634,5,8.4737,48.971226415094335
-450.0,168.55345911949678,6,8.4737,48.9712641509434
-450.0,173.58490566037733,4,8.4737,48.97130188679245
-450.0,178.61635220125788,5,8.4737,48.97133962264151
-450.0,183.64779874213832,4,8.4737,48.971377358490564
-450.0,188.67924528301887,4,8.4737,48.97141509433962
-450.0,193.7106918238993,4,8.4737,48.97145283018868
-450.0,198.74213836477986,5,8.4737,48.97149056603774
-450.0,203.7735849056603,4,8.4737,48.97152830188679
-450.0,208.80503144654085,5,8.4737,48.97156603773585
-450.0,213.8364779874214,6,8.4737,48.9716037735849
-450.0,218.86792452830184,6,8.4737,48.97164150943396
-450.0,223.8993710691824,7,8.4737,48.97167924528302
-450.0,228.93081761006283,4,8.4737,48.971716981132076
-450.0,233.96226415094338,6,8.4737,48.97175471698113
-450.0,238.99371069182382,7,8.4737,48.97179245283019
-450.0,244.02515723270437,4,8.4737,48.97183018867924
-450.0,249.05660377358492,6,8.4737,48.971867924528304
-450.0,254.08805031446536,4,8.4737,48.97190566037736
-450.0,259.1194968553459,5,8.4737,48.971943396226415
-450.0,264.15094339622635,7,8.4737,48.97198113207547
-450.0,269.1823899371069,3,8.4737,48.972018867924525
-450.0,274.21383647798734,6,8.4737,48.97205660377358
-450.0,279.2452830188679,4,8.4737,48.97209433962264
-450.0,284.27672955974845,4,8.4737,48.9721320754717
-450.0,289.3081761006289,5,8.4737,48.972169811320754
-450.0,294.33962264150944,4,8.4737,48.97220754716981
-450.0,299.3710691823899,3,8.4737,48.972245283018864
-450.0,304.4025157232704,5,8.4737,48.97228301886793
-450.0,309.43396226415086,5,8.4737,48.97232075471698
